,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kirakira,-10.4544,161.9205,26.56,89,100,5.8,SB,1614817398
1,fortuna,40.5982,-124.1573,12.78,72,35,0.45,US,1614817424
2,rikitea,-23.1203,-134.9692,26.72,81,49,4.0,PF,1614817303
3,puerto ayora,-0.7393,-90.3518,26.11,92,22,2.03,EC,1614817314
4,toamasina,-18.1667,49.3833,24.0,94,40,1.54,MG,1614817754
5,ushuaia,-54.8,-68.3,12.0,54,20,1.74,AR,1614817344
6,vaini,-21.2,-175.2,27.0,89,75,2.57,TO,1614817355
7,kodiak,57.79,-152.4072,4.0,48,20,6.17,US,1614817172
8,mar del plata,-38.0023,-57.5575,22.22,94,40,4.63,AR,1614817366
9,tabas,33.5959,56.9244,12.52,40,0,1.06,IR,1614817755
10,provideniya,64.3833,-173.3,-20.0,71,0,3.0,RU,1614817463
11,alofi,-19.0595,-169.9187,29.0,79,75,4.63,NU,1614817351
12,xique-xique,-10.8218,-42.7263,27.25,55,86,3.53,BR,1614817755
13,nemuro,43.3236,145.575,-4.0,74,40,4.63,JP,1614817756
14,busselton,-33.65,115.3333,20.0,94,94,1.79,AU,1614817354
15,meghri,38.9029,46.2446,4.19,82,74,0.68,AM,1614817756
16,longyearbyen,78.2186,15.6401,-14.0,61,0,3.6,SJ,1614817350
17,georgetown,5.4112,100.3354,26.67,94,20,1.03,MY,1614817389
18,labuhan,-6.8844,112.2051,25.98,84,76,2.29,ID,1614817756
19,bredasdorp,-34.5322,20.0403,19.0,94,68,1.03,ZA,1614817352
20,hilo,19.7297,-155.09,26.0,44,1,5.14,US,1614817354
21,haines junction,60.7522,-137.5108,-4.0,46,100,3.09,CA,1614817757
22,qiongshan,20.0058,110.3542,22.0,94,75,1.0,CN,1614817757
23,rocha,-34.4833,-54.3333,20.9,93,90,3.3,UY,1614817214
24,nome,64.5011,-165.4064,-18.0,65,1,5.14,US,1614817153
25,albany,42.6001,-73.9662,4.0,60,90,3.6,US,1614817150
